Notes,State,State Code,Year,Year Code,Drug/Alcohol Induced,Drug/Alcohol Induced Code,Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
,Alabama,1,1999,1999,Drug-induced causes,D,195,4430141,4.4,4.4,0.00%
,Alabama,1,1999,1999,Alcohol-induced causes,A,249,4430141,5.6,5.6,0.00%
,Alabama,1,1999,1999,All other non-drug and non-alcohol causes,O,44362,4430141,1001.4,999.2,0.10%
Total,Alabama,1,1999,1999,,,44806,4430141,1011.4,1009.3,0.10%
,Alabama,1,2000,2000,Drug-induced causes,D,232,4447100,5.2,5.3,0.00%
,Alabama,1,2000,2000,Alcohol-induced causes,A,238,4447100,5.4,5.3,0.00%
,Alabama,1,2000,2000,All other non-drug and non-alcohol causes,O,44592,4447100,1002.7,994.2,0.10%
Total,Alabama,1,2000,2000,,,45062,4447100,1013.3,1004.8,0.10%
,Alabama,1,2001,2001,Drug-induced causes,D,253,4467634,5.7,5.7,0.00%
,Alabama,1,2001,2001,Alcohol-induced causes,A,236,4467634,5.3,5.1,0.00%
,Alabama,1,2001,2001,All other non-drug and non-alcohol causes,O,44827,4467634,1003.4,991.2,0.10%
Total,Alabama,1,2001,2001,,,45316,4467634,1014.3,1002.1,0.10%
,Alabama,1,2002,2002,Drug-induced causes,D,248,4480089,5.5,5.6,0.00%
,Alabama,1,2002,2002,Alcohol-induced causes,A,212,4480089,4.7,4.5,0.00%
,Alabama,1,2002,2002,All other non-drug and non-alcohol causes,O,45609,4480089,1018,1003.2,0.10%
Total,Alabama,1,2002,2002,,,46069,4480089,1028.3,1013.4,0.10%
,Alabama,1,2003,2003,Drug-induced causes,D,255,4503491,5.7,5.8,0.00%
,Alabama,1,2003,2003,Alcohol-induced causes,A,218,4503491,4.8,4.6,0.00%
,Alabama,1,2003,2003,All other non-drug and non-alcohol causes,O,46243,4503491,1026.8,1009.9,0.10%
Total,Alabama,1,2003,2003,,,46716,4503491,1037.3,1020.2,0.10%
,Alabama,1,2004,2004,Drug-induced causes,D,327,4530729,7.2,7.3,0.00%
,Alabama,1,2004,2004,Alcohol-induced causes,A,250,4530729,5.5,5.2,0.00%
,Alabama,1,2004,2004,All other non-drug and non-alcohol causes,O,45544,4530729,1005.2,985.8,0.10%
Total,Alabama,1,2004,2004,,,46121,4530729,1018,998.3,0.10%
,Alabama,1,2005,2005,Drug-induced causes,D,332,4569805,7.3,7.4,0.00%
,Alabama,1,2005,2005,Alcohol-induced causes,A,255,4569805,5.6,5.2,0.00%
,Alabama,1,2005,2005,All other non-drug and non-alcohol causes,O,46503,4569805,1017.6,988.7,0.10%
Total,Alabama,1,2005,2005,,,47090,4569805,1030.5,1001.3,0.10%
,Alabama,1,2006,2006,Drug-induced causes,D,466,4628981,10.1,10.2,0.00%
,Alabama,1,2006,2006,Alcohol-induced causes,A,249,4628981,5.4,4.9,0.00%
,Alabama,1,2006,2006,All other non-drug and non-alcohol causes,O,46262,4628981,999.4,964.3,0.10%
Total,Alabama,1,2006,2006,,,46977,4628981,1014.8,979.5,0.10%
,Alabama,1,2007,2007,Drug-induced causes,D,554,4672840,11.9,12,0.00%
,Alabama,1,2007,2007,Alcohol-induced causes,A,254,4672840,5.4,4.9,0.00%
,Alabama,1,2007,2007,All other non-drug and non-alcohol causes,O,45888,4672840,982,940.4,0.10%
Total,Alabama,1,2007,2007,,,46696,4672840,999.3,957.2,0.10%
,Alabama,1,2008,2008,Drug-induced causes,D,646,4718206,13.7,13.8,0.00%
,Alabama,1,2008,2008,Alcohol-induced causes,A,250,4718206,5.3,4.8,0.00%
,Alabama,1,2008,2008,All other non-drug and non-alcohol causes,O,46811,4718206,992.1,941.2,0.10%
Total,Alabama,1,2008,2008,,,47707,4718206,1011.1,959.7,0.10%
,Alabama,1,2009,2009,Drug-induced causes,D,688,4757938,14.5,14.8,0.00%
,Alabama,1,2009,2009,Alcohol-induced causes,A,238,4757938,5,4.5,0.00%
,Alabama,1,2009,2009,All other non-drug and non-alcohol causes,O,46544,4757938,978.2,921,0.10%
Total,Alabama,1,2009,2009,,,47470,4757938,997.7,940.2,0.10%
,Alabama,1,2010,2010,Drug-induced causes,D,585,4779736,12.2,12.6,0.00%
,Alabama,1,2010,2010,Alcohol-induced causes,A,267,4779736,5.6,5,0.00%
,Alabama,1,2010,2010,All other non-drug and non-alcohol causes,O,47186,4779736,987.2,922.2,0.10%
Total,Alabama,1,2010,2010,,,48038,4779736,1005,939.7,0.10%
,Alabama,1,2011,2011,Drug-induced causes,D,605,4802740,12.6,12.9,0.00%
,Alabama,1,2011,2011,Alcohol-induced causes,A,249,4802740,5.2,4.6,0.00%
,Alabama,1,2011,2011,All other non-drug and non-alcohol causes,O,47827,4802740,995.8,916.1,0.10%
Total,Alabama,1,2011,2011,,,48681,4802740,1013.6,933.6,0.10%
,Alabama,1,2012,2012,Drug-induced causes,D,632,4822023,13.1,13.6,0.00%
,Alabama,1,2012,2012,Alcohol-induced causes,A,280,4822023,5.8,5.1,0.00%
,Alabama,1,2012,2012,All other non-drug and non-alcohol causes,O,48389,4822023,1003.5,908.1,0.10%
Total,Alabama,1,2012,2012,,,49301,4822023,1022.4,926.7,0.10%
,Alabama,1,2013,2013,Drug-induced causes,D,648,4833722,13.4,13.8,0.00%
,Alabama,1,2013,2013,Alcohol-induced causes,A,259,4833722,5.4,4.7,0.00%
,Alabama,1,2013,2013,All other non-drug and non-alcohol causes,O,49282,4833722,1019.5,906.8,0.10%
Total,Alabama,1,2013,2013,,,50189,4833722,1038.3,925.2,0.10%
,Alabama,1,2014,2014,Drug-induced causes,D,800,4849377,16.5,16.7,0.00%
,Alabama,1,2014,2014,Alcohol-induced causes,A,310,4849377,6.4,5.5,0.00%
,Alabama,1,2014,2014,All other non-drug and non-alcohol causes,O,49105,4849377,1012.6,886.9,0.10%
Total,Alabama,1,2014,2014,,,50215,4849377,1035.5,909.1,0.10%
,Alabama,1,2015,2015,Drug-induced causes,D,810,4858979,16.7,17.2,0.00%
,Alabama,1,2015,2015,Alcohol-induced causes,A,316,4858979,6.5,5.8,0.00%
,Alabama,1,2015,2015,All other non-drug and non-alcohol causes,O,50783,4858979,1045.1,901.6,0.10%
Total,Alabama,1,2015,2015,,,51909,4858979,1068.3,924.5,0.10%
,Alabama,1,2016,2016,Drug-induced causes,D,855,4863300,17.6,18,0.00%
,Alabama,1,2016,2016,Alcohol-induced causes,A,395,4863300,8.1,7,0.00%
,Alabama,1,2016,2016,All other non-drug and non-alcohol causes,O,51216,4863300,1053.1,895.4,0.10%
Total,Alabama,1,2016,2016,,,52466,4863300,1078.8,920.4,0.10%
,Alabama,1,2017,2017,Drug-induced causes,D,960,4874747,19.7,20.3,0.00%
,Alabama,1,2017,2017,Alcohol-induced causes,A,387,4874747,7.9,6.8,0.00%
,Alabama,1,2017,2017,All other non-drug and non-alcohol causes,O,51891,4874747,1064.5,890.7,0.10%
Total,Alabama,1,2017,2017,,,53238,4874747,1092.1,917.7,0.10%
Total,Alabama,1,,,,,914067,88891578,1028.3,958.9,1.90%
,Alaska,2,1999,1999,Drug-induced causes,D,56,624779,9,8.9,0.00%
,Alaska,2,1999,1999,Alcohol-induced causes,A,94,624779,15,16.3,0.00%
,Alaska,2,1999,1999,All other non-drug and non-alcohol causes,O,2558,624779,409.4,813.7,0.00%
Total,Alaska,2,1999,1999,,,2708,624779,433.4,838.9,0.00%
,Alaska,2,2000,2000,Drug-induced causes,D,54,626932,8.6,8.5,0.00%
,Alaska,2,2000,2000,Alcohol-induced causes,A,102,626932,16.3,18.7,0.00%
,Alaska,2,2000,2000,All other non-drug and non-alcohol causes,O,2758,626932,439.9,841.9,0.00%
Total,Alaska,2,2000,2000,,,2914,626932,464.8,869.1,0.00%
,Alaska,2,2001,2001,Drug-induced causes,D,72,633714,11.4,11.1,0.00%
,Alaska,2,2001,2001,Alcohol-induced causes,A,120,633714,18.9,20.7,0.00%
,Alaska,2,2001,2001,All other non-drug and non-alcohol causes,O,2782,633714,439,799.5,0.00%
Total,Alaska,2,2001,2001,,,2974,633714,469.3,831.3,0.00%
,Alaska,2,2002,2002,Drug-induced causes,D,85,642337,13.2,12.4,0.00%
,Alaska,2,2002,2002,Alcohol-induced causes,A,125,642337,19.5,19.9,0.00%
,Alaska,2,2002,2002,All other non-drug and non-alcohol causes,O,2820,642337,439,770.1,0.00%
Total,Alaska,2,2002,2002,,,3030,642337,471.7,802.4,0.00%
,Alaska,2,2003,2003,Drug-induced causes,D,86,648414,13.3,13.4,0.00%
,Alaska,2,2003,2003,Alcohol-induced causes,A,122,648414,18.8,21,0.00%
,Alaska,2,2003,2003,All other non-drug and non-alcohol causes,O,2972,648414,458.3,809.1,0.00%
Total,Alaska,2,2003,2003,,,3180,648414,490.4,843.5,0.00%
,Alaska,2,2004,2004,Drug-induced causes,D,92,659286,14,13.5,0.00%
,Alaska,2,2004,2004,Alcohol-induced causes,A,104,659286,15.8,16.1,0.00%
,Alaska,2,2004,2004,All other non-drug and non-alcohol causes,O,2855,659286,433,727.1,0.00%
Total,Alaska,2,2004,2004,,,3051,659286,462.8,756.7,0.00%
,Alaska,2,2005,2005,Drug-induced causes,D,85,666946,12.7,12.3,0.00%
,Alaska,2,2005,2005,Alcohol-induced causes,A,121,666946,18.1,19.5,0.00%
,Alaska,2,2005,2005,All other non-drug and non-alcohol causes,O,2962,666946,444.1,730.6,0.00%
Total,Alaska,2,2005,2005,,,3168,666946,475,762.3,0.00%
,Alaska,2,2006,2006,Drug-induced causes,D,85,675302,12.6,12.6,0.00%
,Alaska,2,2006,2006,Alcohol-induced causes,A,143,675302,21.2,21.4,0.00%
,Alaska,2,2006,2006,All other non-drug and non-alcohol causes,O,3126,675302,462.9,753.6,0.00%
Total,Alaska,2,2006,2006,,,3354,675302,496.7,787.6,0.00%
,Alaska,2,2007,2007,Drug-induced causes,D,75,680300,11,10.5,0.00%
,Alaska,2,2007,2007,Alcohol-induced causes,A,144,680300,21.2,20.6,0.00%
,Alaska,2,2007,2007,All other non-drug and non-alcohol causes,O,3244,680300,476.8,749.5,0.00%
