Notes,Year,Year Code,Drug/Alcohol Induced,Drug/Alcohol Induced Code,Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
,1999,1999,Drug-induced causes,D,19128,279040168,6.9,6.8,0.00%
,1999,1999,Alcohol-induced causes,A,19469,279040168,7,7.1,0.00%
,1999,1999,All other non-drug and non-alcohol causes,O,2352802,279040168,843.2,861.7,4.90%
Total,1999,1999,,,2391399,279040168,857,875.6,5.00%
,2000,2000,Drug-induced causes,D,19720,281421906,7,7,0.00%
,2000,2000,Alcohol-induced causes,A,19643,281421906,7,7,0.00%
,2000,2000,All other non-drug and non-alcohol causes,O,2363988,281421906,840,854.9,5.00%
Total,2000,2000,,,2403351,281421906,854,869,5.00%
,2001,2001,Drug-induced causes,D,21705,284968955,7.6,7.6,0.00%
,2001,2001,Alcohol-induced causes,A,20114,284968955,7.1,7,0.00%
,2001,2001,All other non-drug and non-alcohol causes,O,2374606,284968955,833.3,844.2,5.00%
Total,2001,2001,,,2416425,284968955,848,858.8,5.10%
,2002,2002,Drug-induced causes,D,26040,287625193,9.1,9.1,0.10%
,2002,2002,Alcohol-induced causes,A,20218,287625193,7,6.9,0.00%
,2002,2002,All other non-drug and non-alcohol causes,O,2397129,287625193,833.4,839.9,5.00%
Total,2002,2002,,,2443387,287625193,849.5,855.9,5.10%
,2003,2003,Drug-induced causes,D,28723,290107933,9.9,9.9,0.10%
,2003,2003,Alcohol-induced causes,A,20687,290107933,7.1,7,0.00%
,2003,2003,All other non-drug and non-alcohol causes,O,2398878,290107933,826.9,826.6,5.00%
Total,2003,2003,,,2448288,290107933,843.9,843.5,5.10%
,2004,2004,Drug-induced causes,D,30711,292805298,10.5,10.5,0.10%
,2004,2004,Alcohol-induced causes,A,21081,292805298,7.2,7,0.00%
,2004,2004,All other non-drug and non-alcohol causes,O,2345823,292805298,801.2,796.2,4.90%
Total,2004,2004,,,2397615,292805298,818.8,813.7,5.00%
,2005,2005,Drug-induced causes,D,33541,295516599,11.3,11.3,0.10%
,2005,2005,Alcohol-induced causes,A,21634,295516599,7.3,7,0.00%
